id,name,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,wine_category,taste_group,is_organic,bottled_volume,packaging_closing,container_type,category,sub_category,price,inventory,is_on_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
25,Chateau Haut-Batailley Pauillac,frakkland,bordeaux,pauillac,2007,13.5,,01M,f,750.0,korkur,flaska,red,,6999.0,0,f,f,f,2014-12-01,t,f
39,Mouton Cadet,frakkland,bordeaux,bordeaux,2012,12.5,cabernet franc,01M,f,750.0,korkur,flaska,red,,2198.0,51,f,f,f,2000-01-01,t,f
46,Chateau Coucheroy,frakkland,bordeaux,pessac-leognan,2011,13.0,merlot,01M,f,750.0,korkur,flaska,red,,3180.0,48,f,f,f,2010-10-01,t,f
75,Paul Jaboulet Les Cedres Chateauneuf du Pape,frakkland,rhone,chateauneuf-du-pape,2007,14.5,grenache,01T,f,750.0,korkur,flaska,red,,5999.0,2,f,f,f,2014-04-01,t,f
77,La Fiole du Pape,frakkland,rhone,chateauneuf-du-pape,,13.5,grenache,01M,f,750.0,korkur,flaska,red,,3999.0,0,f,f,f,2014-12-01,t,f
109,Georges Duboeuf Beaujolais,frakkland,bourgogne,beaujolais,2013,12.0,gamay,01L,f,750.0,korkur,flaska,red,,1999.0,12,f,f,f,2009-06-01,t,f
116,Torres Gran Coronas Reserva,spánn,catalunya,penedes,2011,14.0,cabernet sauvignon,01M,f,750.0,korkur,flaska,red,,2890.0,54,f,f,f,2000-01-01,t,f
118,Marques de Riscal Reserva,spánn,,rioja,2011,14.0,tempranillo,01M,f,750.0,korkur,flaska,red,,3199.0,24,f,f,f,2011-04-01,t,f
121,Joseph Drouhin Laforet Pinot Noir,frakkland,bourgogne,bourgogne,2013,12.5,pinot noir,01L,f,750.0,skruf,flaska,red,,2648.0,116,f,f,f,1999-02-01,t,f
122,Faustino I Gran Reserva,spánn,,rioja,2001,13.5,tempranillo,01T,f,750.0,korkur,flaska,red,,3998.0,0,f,f,f,2000-01-01,t,f
133,Montecillo Crianza,spánn,,rioja,2010,13.5,tempranillo,01M,f,750.0,korkur,flaska,red,,1999.0,465,f,f,f,1995-05-01,t,f
135,Campo Viejo Reserva,spánn,,rioja,2010,13.5,tempranillo,01M,f,750.0,korkur,flaska,red,,2399.0,558,f,f,f,1995-05-01,t,f
137,Montecillo Gran Reserva,spánn,,rioja,2008,13.5,tempranillo,01M,f,750.0,korkur,flaska,red,,3299.0,24,f,f,f,2015-10-01,t,f
148,Beronia Reserva,spánn,,rioja,2010,14.0,tempranillo,01M,f,750.0,korkur,flaska,red,,2798.0,0,f,f,f,1997-04-01,t,f
154,Canepa Reserva Cabernet Sauvignon,chile,valledecen,valle del maipo,2011,13.5,cabernet sauvignon,01M,f,750.0,korkur,flaska,red,,1999.0,0,f,f,f,2015-06-01,t,f
156,Santa Cristina Toscana,ítalía,toskana,toscana,2013,12.5,sangiovese,01M,f,750.0,stkork,flaska,red,,1999.0,156,f,f,f,2000-01-01,t,f
162,Pasqua Merlot delle Venezie,ítalía,,venezie,2014,12.0,merlot,01L,f,1500.0,skruf,flaska,red,,2900.0,394,f,f,f,2000-01-01,t,f
164,Riunite Lambrusco,ítalía,emilia-rom,emilia,,8.0,lambrusco,01LM,f,750.0,skruf,flaska,red,,1198.0,8,f,f,f,2000-01-01,t,f
165,Riunite Lambrusco,ítalía,emilia-rom,emilia,,8.0,lambrusco,01LM,f,1500.0,skruf,flaska,red,,2398.0,94,f,f,f,2000-01-01,t,f
167,Ruffino Riserva Ducale Chianti Classico,ítalía,toskana,chianti classico,2011,13.0,sangiovese,01M,f,750.0,korkur,flaska,red,,3299.0,24,f,f,f,2016-04-01,t,f
172,Brolio Chianti Classico,ítalía,toskana,chianti classico,2013,13.0,sangiovese,01M,f,750.0,korkur,flaska,red,,3449.0,60,f,f,f,1995-12-01,t,f
175,M. Chapoutier Chateauneuf-du-Pape La Bernardine,frakkland,rhone,chateauneuf-du-pape,2011,14.5,grenache,01T,f,750.0,korkur,flaska,red,,6490.0,8,f,f,f,2008-11-01,t,f
177,Masi Campofiorin,ítalía,veneto,veronese,2012,13.0,corvina,01M,f,750.0,korkur,flaska,red,,2689.0,144,f,f,f,1999-04-01,t,f
183,Lindemans Cawarra Shiraz Cabernet,ástralía,,south eastern australia,2013,13.5,cabernet sauvignon,01M,f,750.0,skruf,flaska,red,,1985.0,48,f,f,f,1996-08-01,t,f
185,Penfolds Koonunga Hill Shiraz Cabernet,ástralía,s-australi,south australia,2012,14.0,cabernet sauvignon,01M,f,750.0,skruf,flaska,red,,2620.0,18,f,f,f,2015-05-01,t,f
213,Montes Alpha Cabernet Sauvignon,chile,valledecen,colchagua valley,2011,14.0,cabernet sauvignon,01T,f,750.0,korkur,flaska,red,,2999.0,22,f,f,f,2014-02-01,t,f
219,Roodeberg,suðurafríka,,western cape,2012,14.0,,01M,f,750.0,korkur,flaska,red,,2269.0,52,f,f,f,2014-03-01,t,f
251,Mouton Cadet hvítt,frakkland,bordeaux,bordeaux,2013,12.0,sauvignon blanc,02L,f,750.0,skruf,flaska,white,,1999.0,18,f,f,f,2015-05-01,t,f
252,Mouton Cadet hvítt,frakkland,bordeaux,bordeaux,2013,12.0,muscadelle,02L,f,375.0,plast,flaska,white,,1198.0,20,f,f,f,2014-10-01,t,f
265,Bouchard Aine Pouilly-Fuissé,frakkland,bourgogne,pouilly-fuissé,2013,13.0,chardonnay,02M,f,750.0,korkur,flaska,white,,3999.0,54,f,f,f,2000-01-01,t,f
268,Domaine Laroche Chablis Vaudevey,frakkland,bourgogne,chablis premier cru,2011,12.5,chardonnay,02L,f,750.0,skruf,flaska,white,,3999.0,12,f,f,f,2011-02-01,t,f
287,Hugel Riesling,frakkland,alsace,alsace ac,2014,12.5,riesling,02M,f,750.0,stkork-d,flaska,white,,2698.0,14,f,f,f,2008-08-01,t,f
290,Hugel Gewurztraminer,frakkland,alsace,alsace ac,2013,13.0,gewurztraminer,02MM,f,750.0,stkork-d,flaska,white,,2998.0,25,f,f,f,2013-06-01,t,f
291,Joseph Drouhin Chablis Les Clos,frakkland,bourgogne,chablis grand cru,2011,13.0,chardonnay,02M,f,750.0,korkur,flaska,white,,6498.0,6,f,f,f,2008-12-15,t,f
301,Jean Claude Pepin Herault Blanc,frakkland,languedoc-,pays d'herault,,11.0,,02L,f,3000.0,,box,white,,4938.0,0,f,f,f,2000-01-01,t,f
345,Torres San Valentin,spánn,catalunya,catalunya,2014,10.5,parellada,02L,f,750.0,skruf,flaska,white,,1549.0,680,f,f,f,2008-07-01,t,f
346,Torres San Valentin,spánn,catalunya,catalunya,2013,10.5,parellada,02LM,f,375.0,korkur,flaska,white,,985.0,195,f,f,f,2012-02-01,t,f
348,Torres Gran Vina Sol Chardonnay,spánn,catalunya,penedes,2012,13.5,chardonnay,02M,f,750.0,skruf,flaska,white,,2390.0,51,f,f,f,2013-11-01,t,f
349,Torres Vina Esmeralda,spánn,catalunya,catalunya,2014,11.0,gewurztraminer,02L,f,750.0,skruf,flaska,white,,1799.0,282,f,f,f,2000-01-01,t,f
354,Joseph Drouhin Laforet Chardonnay,frakkland,bourgogne,bourgogne,2012,13.0,chardonnay,02L,f,750.0,skruf,flaska,white,,2196.0,0,f,f,f,2014-10-01,t,f
358,Pasqua Pinot Grigio,ítalía,veneto,veronese,2013,12.0,pinot grigio,02L,f,1500.0,skruf,flaska,white,,3360.0,138,f,f,f,2000-01-01,t,f
361,Villa Antinori hvítt,ítalía,toskana,toscana,2014,12.0,chardonnay,02M,f,750.0,skruf,flaska,white,,1999.0,367,f,f,f,1996-11-01,t,f
363,Lindemans Chardonnay Bin 65,ástralía,,south eastern australia,2014,13.5,chardonnay,02M,f,750.0,skruf,flaska,white,,2219.0,64,f,f,f,2013-11-01,t,f
369,Penfolds Koonunga Hill Chardonnay,ástralía,,south australia,2014,13.0,chardonnay,02M,f,750.0,skruf,flaska,white,,2255.0,18,f,f,f,2015-05-01,t,f
385,Canepa Reserva Chardonnay,chile,valledecen,valle del maipo,2013,13.5,chardonnay,02L,f,750.0,korkur,flaska,white,,1999.0,12,f,f,f,2015-06-01,t,f
390,Montes Chardonnay Reserva,chile,valledecen,valle central,2014,13.5,chardonnay,02M,f,750.0,skruf,flaska,white,,1899.0,92,f,f,f,1997-01-01,t,f
405,Franck Millet Sancerre,frakkland,loire,sancerre,2014,12.5,sauvignon blanc,02M,f,750.0,korkur,flaska,white,,2999.0,22,f,f,f,1999-04-01,t,f
406,Beronia Viura,spánn,,rioja,2014,12.0,viura,02L,f,750.0,skruf,flaska,white,,1898.0,12,f,f,f,2013-05-01,t,f
410,Rene Mure Pinot Gris Signature,frakkland,alsace,alsace ac,2014,12.5,pinot gris,02M,t,750.0,skruf,flaska,white,,2599.0,26,f,f,f,2011-02-01,t,f
412,La Chablisienne Chablis La Sereine,frakkland,bourgogne,chablis,2012,12.5,chardonnay,02L,f,750.0,korkur,flaska,white,,2799.0,126,f,f,f,1998-07-01,t,f
414,Guntrum Riesling,þýskaland,,rhein,2014,8.5,riesling,02LM,f,750.0,skruf,flaska,white,,1399.0,251,f,f,f,1999-04-01,t,f
419,Beringer Founders' Estate Sauvignon Blanc,bandaríkin,kalifornía,kalifornía,2012,13.0,sauvignon blanc,02L,f,750.0,korkur,flaska,white,,2775.0,30,f,f,f,2014-10-01,t,f
422,Riunite Bianco,ítalía,,,,8.0,garganega,02LS,f,750.0,skruf,flaska,white,,1297.0,12,f,f,f,2015-06-01,t,f
449,Mouton Cadet Rose,frakkland,bordeaux,bordeaux,2013,12.5,cabernet franc,03,f,750.0,skruf,flaska,rose,,1999.0,0,f,f,f,2015-02-01,t,f
451,Marques de Riscal Rosado,spánn,,rioja,,13.5,tempranillo,03,f,750.0,skruf,flaska,rose,,1999.0,12,f,f,f,2014-10-01,t,f
454,Mateus,portúgal,,,,10.0,,03M,f,750.0,skruf,flaska,rose,,1499.0,354,f,f,f,2000-01-01,t,f
455,Mateus,portúgal,,,,10.0,,03M,f,375.0,skruf,flaska,rose,,779.0,115,f,f,f,2013-04-01,t,f
470,Riunite Blush Bianco,ítalía,,,,8.0,,03M,f,750.0,skruf,flaska,rose,,1198.0,0,f,f,f,1998-08-01,t,f
475,Mumm Demi-Sec,frakkland,champagne,champagne,,12.0,,04M,f,750.0,f-korkur,flaska,bubbly,,6500.0,33,f,f,f,2000-01-01,t,f
476,Mumm Cordon Rouge Brut,frakkland,champagne,champagne,,12.0,,04,f,750.0,f-korkur,flaska,bubbly,,6499.0,0,f,f,f,2014-05-01,t,f
477,Moet & Chandon Brut Imperial,frakkland,champagne,champagne,,12.0,,04,f,750.0,f-korkur,flaska,bubbly,,6750.0,25,f,f,f,2000-01-01,t,f
479,Veuve Clicquot Ponsardin Brut,frakkland,champagne,champagne,,12.0,,04,f,750.0,f-korkur,flaska,bubbly,,6998.0,31,f,f,f,2000-01-01,t,f
482,Gosset Brut Excellence,frakkland,champagne,champagne,,12.0,pinot noir,04,f,750.0,f-korkur,flaska,bubbly,,4999.0,18,f,f,f,2015-09-01,t,f
484,Taittinger Brut Reserve,frakkland,champagne,champagne,,12.5,chardonnay,04,f,750.0,f-korkur,flaska,bubbly,,5999.0,36,f,f,f,2013-11-01,t,f
498,Gancia Asti,ítalía,piemonte,asti,,7.5,moscato bianco,04S,f,750.0,f-korkur,flaska,bubbly,,1949.0,559,f,f,f,2000-01-01,t,f
502,Martini Asti,ítalía,piemonte,asti,,7.5,moscato bianco,04S,f,750.0,f-korkur,flaska,bubbly,,1599.0,314,f,f,f,1996-03-01,t,f
510,Henkell Trocken,þýskaland,,,,11.5,,04,f,750.0,f-korkur,flaska,bubbly,,1810.0,174,f,f,f,2000-01-01,t,f
514,Codorniu Clasico Semi Sec,spánn,,cava,,11.5,,04M,f,750.0,f-korkur,flaska,bubbly,,1899.0,146,f,f,f,2000-01-01,t,f
516,Freixenet Cordon Negro Seco,spánn,catalunya,cava,,11.5,,04,f,750.0,f-korkur,flaska,bubbly,,2050.0,444,f,f,f,2000-01-01,t,f
517,Freixenet Carta Nevada Semi Seco,spánn,catalunya,cava,,11.5,,04M,f,750.0,f-korkur,flaska,bubbly,,1950.0,231,f,f,f,2013-08-01,t,f
526,Santero Moscato,ítalía,,,,6.5,moscato bianco,04S,f,750.0,f-korkur,flaska,bubbly,,1100.0,439,f,f,f,1997-12-01,t,f
528,Bollinger Brut Special Cuvee,frakkland,champagne,champagne,,12.0,,04,f,750.0,f-korkur,flaska,bubbly,,7999.0,56,f,f,f,1999-06-01,t,f
531,Freixenet Cordon Negro Brut,spánn,catalunya,cava,,12.0,macabeo,04,f,375.0,f-korkur,flaska,bubbly,,990.0,0,f,f,f,2015-06-01,t,f
533,Freixenet Cordon Negro Brut,spánn,catalunya,cava,,11.5,macabeo,04,f,200.0,skruf,flaska,bubbly,,599.0,23,f,f,f,2015-07-01,t,f
546,Hunt's Ruby Leading the Field,portúgal,,,,19.5,,,f,750.0,korkur,flaska,fortified,port,3899.0,9,f,f,f,2000-01-01,t,f
547,Hunt's White,portúgal,,,,19.5,,,f,750.0,korkur,flaska,fortified,port,3899.0,51,f,f,f,2000-01-01,t,f
550,Cockburn's Special Reserve,portúgal,,,,20.0,,,f,750.0,korkur,flaska,fortified,port,3999.0,87,f,f,f,2000-01-01,t,f
553,Sandeman's Old Invalid,portúgal,,,,19.5,,,f,750.0,korkur,flaska,fortified,port,3999.0,133,f,f,f,1998-12-10,t,f
556,Graham's 10 ára Tawny,portúgal,,,,20.0,,,f,750.0,korkur,flaska,fortified,port,5499.0,45,f,f,f,1997-07-01,t,f
562,Warre's Warrior Reserve,portúgal,,,,20.0,,,f,750.0,korkur,flaska,fortified,port,4297.0,24,f,f,f,2013-06-01,t,f
568,Osborne LBV,portúgal,,,2005,19.5,,,f,750.0,korkur,flaska,fortified,port,4299.0,12,f,f,f,1999-02-01,t,f
570,Gonzalez Byass Tio Pepe Fino,spánn,,jerez,,15.0,palomino,,f,750.0,tkorkur,flaska,fortified,port,3498.0,6,f,f,f,2010-06-01,t,f
577,Harveys Bristol Cream,spánn,,,,17.5,,,f,750.0,skruf,flaska,fortified,port,3599.0,48,f,f,f,2000-01-01,t,f
591,Croft Pale Cream,spánn,,,,17.5,,,f,750.0,tkorkur,flaska,fortified,port,3699.0,28,f,f,f,2000-01-01,t,f
597,Osborne Golden Medium,spánn,,,,15.0,palomino,,f,750.0,skruf,flaska,fortified,port,2799.0,63,f,f,f,1998-02-06,t,f
600,Osborne Medium,spánn,,,,15.0,,,f,750.0,skruf,flaska,fortified,port,2799.0,102,f,f,f,1998-08-25,t,f
621,Martini Rosso,ítalía,,,,15.0,,,f,1000.0,skruf,flaska,strong,bitterspice,2899.0,419,f,f,f,1999-01-01,t,f
624,Martini Extra Dry,ítalía,,,,15.0,,,f,1000.0,skruf,flaska,strong,bitterspice,2899.0,50,f,f,f,1999-01-01,t,f
628,Martini Bianco,ítalía,,,,15.0,,,f,1000.0,skruf,flaska,strong,bitterspice,2899.0,551,f,f,f,1999-01-01,t,f
631,Martini Bianco,ítalía,,,,15.0,,,f,500.0,skruf,flaska,strong,bitterspice,1699.0,93,f,f,f,1999-01-01,t,f
633,Martini Rosato,ítalía,,,,15.0,,,f,1000.0,skruf,flaska,strong,bitterspice,2899.0,47,f,f,f,2013-11-01,t,f
657,Camus XO Elegance,frakkland,cognac,cognac,,40.0,,,f,700.0,,flaska,strong,brandy,18999.0,24,f,f,f,1998-11-01,t,f
659,Camus VSOP Elegance,frakkland,,,,40.0,,,f,700.0,,flaska,strong,brandy,8799.0,99,f,f,f,2000-01-01,t,f
662,Camus VS Elegance,frakkland,,,,40.0,,,f,700.0,,flaska,strong,brandy,7499.0,66,f,f,f,2000-01-01,t,f
664,Camus VS Elegance,frakkland,cognac,cognac,,40.0,,,f,500.0,skruf,flaska,strong,brandy,5199.0,57,f,f,f,1995-12-01,t,f
672,Hennessy VSOP,frakkland,cognac,cognac,,40.0,,,f,700.0,,flaska,strong,brandy,11445.0,36,f,f,f,2007-03-01,t,f
677,Remy Martin Fine Champagne VSOP,frakkland,,,,40.0,,,f,700.0,,flaska,strong,brandy,9999.0,18,f,f,f,2000-01-01,t,f
685,Frapin VSOP,frakkland,cognac,grande champagne,,40.0,,,f,500.0,skruf,flaska,strong,brandy,5999.0,154,f,f,f,1997-03-01,t,f
686,Frapin VSOP,frakkland,cognac,grande champagne,,40.0,,,f,700.0,tkorkur,flaska,strong,brandy,8999.0,117,f,f,f,2000-01-01,t,f
693,Baron Otard VSOP,frakkland,,,,40.0,,,f,700.0,,flaska,strong,brandy,8599.0,111,f,f,f,1995-05-01,t,f
697,Larsen VS,frakkland,,,,40.0,,,f,700.0,,flaska,strong,brandy,7799.0,28,f,f,f,2004-02-01,t,f
706,Meukow VSOP,frakkland,,,,40.0,,,f,700.0,,flaska,strong,brandy,9489.0,6,f,f,f,1996-01-01,t,f
715,Martell Cordon Bleu,frakkland,cognac,cognac,,40.0,,,f,700.0,,flaska,strong,brandy,14699.0,15,f,f,f,2010-08-01,t,f
732,Johnnie Walker Black Label 12 ára,stórabretland,skotland,skotland,,40.0,,,f,700.0,,flaska,strong,whisky,6999.0,35,f,f,f,2010-06-01,t,f
735,Johnnie Walker Red Label,stórabretland,skotland,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,5999.0,36,f,f,f,2015-10-01,t,f
737,Haig's Dimple 15 ára,stórabretland,,,,40.0,,,f,700.0,,flaska,strong,whisky,8620.0,28,f,f,f,2000-01-01,t,f
744,The Glenlivet 12 ára,stórabretland,skotland,speyside,,40.0,,,f,700.0,,flaska,strong,whisky,8299.0,0,f,f,f,2001-08-01,t,f
745,Ballantine's Finest,stórabretland,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,6099.0,88,f,f,f,2000-01-01,t,f
748,Ballantine's 12 ára,stórabretland,,,,40.0,,,f,700.0,,flaska,strong,whisky,6999.0,26,f,f,f,2000-01-01,t,f
752,Grant's Family Reserve,stórabretland,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,6190.0,7,f,f,f,2000-01-01,t,f
755,Glenfiddich 12 ára,stórabretland,skotland,skotland,,40.0,,,f,700.0,,flaska,strong,whisky,8399.0,84,f,f,f,2011-05-01,t,f
763,The Famous Grouse,stórabretland,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,5999.0,90,f,f,f,2000-01-01,t,f
764,The Famous Grouse,stórabretland,,,,40.0,,,f,350.0,skruf,flaska,strong,whisky,3399.0,108,f,f,f,2000-01-01,t,f
767,Kilbeggan,írland,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,6449.0,12,f,f,f,2012-06-01,t,f
770,Chivas Regal 12 ára,stórabretland,,,,40.0,,,f,700.0,,flaska,strong,whisky,7599.0,13,f,f,f,2000-01-01,t,f
772,Scottish Leader,stórabretland,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,5899.0,277,f,f,f,1995-11-01,t,f
773,Scottish Leader,stórabretland,,,,40.0,,,f,350.0,skruf,flaska,strong,whisky,3299.0,204,f,f,f,1997-06-01,t,f
779,Jameson,írland,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,6199.0,258,f,f,f,2000-01-01,t,f
789,Maker's Mark,bandaríkin,,kentucky,,45.0,,,f,700.0,skruf,flaska,strong,whisky,9999.0,18,f,f,f,2015-10-01,t,f
791,Tullamore Dew,írland,,,,40.0,,,f,700.0,,flaska,strong,whisky,6190.0,23,f,f,f,2012-04-01,t,f
792,Laphroaig 10 ára,stórabretland,skotland,islay,,40.0,,,f,700.0,,flaska,strong,whisky,10999.0,12,f,f,f,2009-03-01,t,f
795,Jim Beam Bourbon,bandaríkin,,,,40.0,,,f,700.0,skruf,flaska,strong,whisky,6749.0,41,f,f,f,1997-01-10,t,f
829,Brennivín,ísland,,,,40.0,,,f,700.0,skruf,flaska,strong,snaps,5599.0,158,f,f,f,2000-01-01,t,f
842,Aalborg Jule Akvavit 2015,danmörk,,,2015,47.0,,,f,700.0,t-plast,flaska,strong,snaps,8990.0,0,t,f,f,2015-11-13,t,f
865,Tinda vodka,ísland,,,,37.5,,,f,700.0,skruf,flaska,strong,vodka,5240.0,119,f,f,f,1996-12-30,t,f
867,Tinda vodka,ísland,,,,37.5,,,f,1000.0,skruf,flaska,strong,vodka,7249.0,84,f,f,f,1996-12-30,t,f
874,Koskenkorva,finnland,,,,37.5,,,f,700.0,skruf,flaska,strong,vodka,5199.0,22,f,f,f,2000-01-01,t,f
876,Koskenkorva,finnland,,,,37.5,,,f,350.0,skruf,peli,strong,vodka,2798.0,336,f,f,f,2000-01-01,t,f
877,Finlandia,finnland,,,,37.5,,,f,1000.0,skruf,flaska,strong,vodka,7599.0,642,f,f,f,1998-04-24,t,f
881,Finlandia,finnland,,,,37.5,,,f,700.0,skruf,flaska,strong,vodka,5499.0,420,f,f,f,1998-04-24,t,f
883,Finlandia,finnland,,,,37.5,,,f,350.0,skruf,flaska,strong,vodka,2899.0,84,f,f,f,2014-10-01,t,f
885,Finlandia,finnland,,,,40.0,,,f,500.0,skruf,flaska,strong,vodka,3999.0,1088,f,f,f,2000-01-01,t,f
887,Smirnoff,stórabretland,,,,40.0,,,f,500.0,skruf,flaska,strong,vodka,3999.0,669,f,f,f,2000-01-01,t,f
901,Absolut,svíþjóð,,,,40.0,,,f,700.0,skruf,flaska,strong,vodka,5599.0,192,f,f,f,2000-01-01,t,f
902,Absolut Citron,svíþjóð,,,,40.0,,,f,700.0,skruf,flaska,strong,vodka,5599.0,96,f,f,f,2012-10-01,t,f
921,Gordon's,stórabretland,,,,37.5,,,f,700.0,skruf,flaska,strong,gin,5490.0,119,f,f,f,1998-05-07,t,f
922,Gordon's,stórabretland,,,,37.5,,,f,350.0,skruf,flaska,strong,gin,2820.0,105,f,f,f,1998-05-07,t,f
926,Tanqueray,stórabretland,,,,43.1,,,f,700.0,skruf,flaska,strong,gin,6790.0,233,f,f,f,2000-01-01,t,f
929,Beefeater,stórabretland,,,,40.0,,,f,350.0,skruf,flaska,strong,gin,2899.0,293,f,f,f,2000-01-01,t,f
930,Beefeater,stórabretland,,,,40.0,,,f,700.0,skruf,flaska,strong,gin,5799.0,238,f,f,f,2000-01-01,t,f
945,Bombay Sapphire,stórabretland,,,,40.0,,,f,700.0,skruf,flaska,strong,gin,7099.0,522,f,f,f,2001-08-01,t,f
958,Bokma Oude Frische,holland,,,,38.0,,,f,700.0,skruf,flaska,strong,gin,6599.0,2,f,f,f,2013-11-01,t,f
969,Bacardi Carta Blanca,púertóríkó,,,,37.5,,,f,700.0,skruf,flaska,strong,rum,5699.0,473,f,f,f,2000-01-01,t,f
970,Bacardi Carta Blanca,púertóríkó,,,,37.5,,,f,350.0,skruf,flaska,strong,rum,2999.0,174,f,f,f,1995-08-23,t,f
980,Captain Morgan White Rum,jamaíka,,,,37.5,,,f,700.0,skruf,flaska,strong,rum,5990.0,6,f,f,f,2015-10-01,t,f
993,DOM Bénédictine,frakkland,,,,40.0,,,f,500.0,,flaska,strong,liqueur,4999.0,26,f,f,f,2000-01-01,t,f
999,Grand Marnier Cordon Rouge,frakkland,,,,40.0,,,f,500.0,tkorkur,flaska,strong,liqueur,5590.0,182,f,f,f,2000-01-01,t,f
1007,Cointreau,frakkland,,,,40.0,,,f,500.0,skruf,flaska,strong,liqueur,5699.0,36,f,f,f,2000-01-01,t,f
1015,Malibu,stórabretland,,,,21.0,,,f,500.0,skruf,flaska,strong,liqueur,2999.0,83,f,f,f,1998-03-02,t,f
1016,Malibu,stórabretland,,,,21.0,,,f,1000.0,skruf,flaska,strong,liqueur,5999.0,51,f,f,f,1999-05-01,t,f
1024,Baileys,írland,,,,17.0,,,f,700.0,skruf,flaska,strong,liqueur,4229.0,241,f,f,f,2000-01-01,t,f
1028,Black Ball Porter,danmörk,,,,8.0,,61SP,f,330.0,crown,flaska,beer,,828.0,48,f,f,f,2015-02-01,t,f
1037,Southern Comfort,bandaríkin,,,,35.0,,,f,700.0,,flaska,strong,liqueur,5599.0,54,f,f,f,2000-01-01,t,f
1046,Mikkeller Wheat Is The New Hops Grass Roots IPA,danmörk,,,,6.0,,62HV,f,330.0,crown,flaska,beer,,719.0,216,f,f,f,2015-02-01,t,f
1050,Houblon Chouffe,belgía,,,,9.0,,61ÖL,f,330.0,crown,flaska,beer,,959.0,0,f,f,f,2015-05-01,t,f
1061,De Kuyper Peachtree,holland,,,,20.0,,,f,700.0,skruf,flaska,strong,liqueur,3899.0,44,f,f,f,2000-01-01,t,f
1067,Amaretto Disaronno,ítalía,,,,28.0,,,f,500.0,skruf,flaska,strong,liqueur,3730.0,110,f,f,f,2000-01-01,t,f
