id,name,supplier,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,grape,taste_group,is_organic,bottled_volume,seal,container,category,sub_category,goes_with,price,is_temp_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
10037,Caussade XO,Elgur ehf,frakkland,armagnac,armagnac ac,,40.0,,,false,750.0,,flaska,strong,brandy,{},14989,false,false,false,2010-10-01,true,false
10046,Meukow VSOP smáflöskur,Elgur ehf,frakkland,cognac,cognac,,40.0,,,false,50.0,,flaska,strong,brandy,{},690,false,true,false,2005-12-01,false,false
10048,Rosemount GTR,Ölgerðin Egill Skallagríms ehf,ástralía,enginn,south eastern australia,2015,10.0,gewurztraminer,02LM,false,3000.0,,box,white,,"{A,K,P,Y}",6642,false,false,false,2006-03-01,true,false
1007,Cointreau,Haugen-Gruppen ehf.,frakkland,,,,40.0,,,false,500.0,skrúftappi,flaska,strong,liqueur,{},5699,false,false,false,2000-01-01,true,false
10083,Solar Viejo Crianza,Vín Tríó ehf,spánn,,rioja,2011,14.0,tempranillo,01M,false,750.0,korkur,flaska,red,,"{1,J,M,P,Y}",1890,false,false,false,2015-04-01,true,false
10089,Kirsberry,Globus hf,danmörk,,,,14.8,,,false,700.0,skrúftappi,flaska,fortified,fruit,{},2899,false,false,false,2008-11-01,true,false
10091,Anakena Carmenere Tama Vineyard Selection,Ber ehf,chile,valledecen,peumo,2009,13.5,carmenere,01T,false,750.0,korkur,flaska,red,,"{E,F,H,S,Y}",2265,false,false,false,2015-05-01,true,false
10096,Zywiec,Rain ehf,pólland,,,,5.6,,60LL,false,500.0,,dós,beer,,{},389,false,false,false,2015-12-01,true,false
10098,Dehesa La Granja,Ber ehf,spánn,castilla y,castilla y leon,2005,14.0,tempranillo,01M,false,750.0,korkur,flaska,red,,"{E,F,L,T,Y}",2865,false,false,false,2012-11-01,true,false
10103,Brio de Cantenac Brown,Globus hf,frakkland,bordeaux,margaux,2009,13.0,cabernet sauvignon,01M,false,750.0,korkur,flaska,red,,"{E,F,T,Æ}",5299,false,false,false,2010-01-01,true,false
10114,Chateau d'Agassac,Globus hf,frakkland,bordeaux,haut-medoc,2007,13.0,merlot,01T,false,750.0,korkur,flaska,red,,"{E,F,H,P,Æ}",3999,false,false,false,2008-12-18,true,false
10121,Castillo Perelada Brut Rosado,Ber ehf,spánn,,cava,,11.5,trepat,,false,750.0,,flaska,bubbly,,"{A,C,O,P,Y}",2347,false,true,false,2011-04-01,false,false
10122,Flöskupoki Maja Oro ljósbr. gyllt rönd,Pappír hf,,,,,0.0,,,false,0.0,,stykki,wrapper,,{},542,false,false,false,2015-11-25,true,false
10126,Underberg 12x20 ml í álboxi,Elgur ehf,þýskaland,,,,44.0,,,false,240.0,skrúftappi,álbox,strong,bitterspice,{},3989,false,false,false,2013-07-01,true,true
1015,Malibu,Mekka Wines & Spirits hf,stórabretland,,,,21.0,,,false,500.0,skrúftappi,flaska,strong,liqueur,{},2999,false,false,false,1998-03-02,true,false
1016,Malibu,Mekka Wines & Spirits hf,stórabretland,,,,21.0,,,false,1000.0,skrúftappi,flaska,strong,liqueur,{},5999,false,false,false,1999-05-01,true,false
10161,Samuel Adams Winter Lager,Mekka Wines & Spirits hf,bandaríkin,,,,5.5,,60DL,false,355.0,crown,flaska,beer,,{},539,true,false,false,2015-11-01,true,false
10163,Fortius Tempranillo,Haugen-Gruppen ehf.,spánn,navarra,navarra,2011,13.5,tempranillo,01M,false,750.0,korkur,flaska,red,,"{F,G,I,J,Y}",1899,false,false,false,2007-05-01,true,false
10196,Prunotto Barbaresco,Globus hf,ítalía,piemonte,barbaresco,2011,13.5,nebbiolo,01M,false,750.0,korkur,flaska,red,,"{E,F,L,T,Æ}",4698,false,false,false,2008-11-01,true,false
10203,Passoa,Haugen-Gruppen ehf.,frakkland,,,,17.0,,,false,1000.0,skrúftappi,flaska,strong,liqueur,{},5399,false,false,false,1999-10-01,true,false
10217,Cono Sur Bicicleta Riesling,Rolf Johansen & Co ehf,chile,regiondels,bio bio,2014,13.5,riesling,02M,false,750.0,skrúftappi,flaska,white,,"{2,B,C,D,Y}",1900,false,false,false,2016-04-01,true,false
10218,Crasto Douro,Rolf Johansen & Co ehf,portúgal,,douro,2010,13.5,tinta roriz,01M,false,750.0,korkur,flaska,red,,"{D,F,G,J,Y}",2790,false,false,false,2014-05-01,true,false
10236,Kollwentz Welschriesling,Haugen-Gruppen ehf.,austurríki,burgenland,burgenland,2008,11.0,welschriesling,,false,750.0,,flaska,white,,"{A,B,I,P,Y}",2469,false,true,false,2010-04-01,false,false
1024,Baileys,Ölgerðin Egill Skallagríms ehf,írland,,,,17.0,,,false,700.0,skrúftappi,flaska,strong,liqueur,{},4199,false,false,false,2000-01-01,true,false
10274,Jacob's Creek Sparkling Rose,Mekka Wines & Spirits hf,ástralía,barossa,barossa valley,,11.5,chardonnay,04,false,750.0,korkur,flaska,bubbly,,{},1899,false,false,false,2009-11-01,true,false
10276,Faxe Amber,HOB-vín ehf,danmörk,,,,5.0,,60LL,false,500.0,,dós,beer,,"{C,D,G}",329,false,false,false,2002-03-01,true,false
1028,Black Ball Porter,Járn og gler hf,danmörk,,,,8.0,,61SP,false,330.0,crown,flaska,beer,,{},828,false,false,false,2015-02-01,true,false
10285,Remy Martin XO Excellence,Haugen-Gruppen ehf.,frakkland,cognac,cognac,,40.0,,,false,700.0,,flaska,strong,brandy,{},24999,false,false,false,2015-10-01,true,false
10288,Santa Helena Merlot,Ölgerðin Egill Skallagríms ehf,chile,valledecen,valle central,2014,13.0,merlot,01L,false,3000.0,flextappi,box,red,,"{D,G,J,P,Y}",5919,false,false,false,2015-04-01,true,false
10309,Two Oceans Fresh & Fruity,Globus hf,suðurafríka,,western cape,2015,12.5,,02L,false,3000.0,bibtwist,box,white,,"{4,B,C,P,Y}",5199,false,false,false,2006-10-01,true,false
10310,Havana Club Anejo 7 ára,Globus hf,kúba,,,,40.0,,,false,500.0,,flaska,strong,rum,{},4998,false,false,false,2011-06-01,true,false
10316,Le Bonheur Prima Merlot Cabernet Sauvignon,Elgur ehf,suðurafríka,coastalreg,simonsberg stellenbosch,2007,13.5,cabernet sauvignon,01T,false,750.0,korkur,flaska,red,,"{E,F,J,S,Y}",3690,false,false,false,2014-06-01,true,false
10320,Sunrise Chardonnay,Mekka Wines & Spirits hf,chile,valledecen,valle central,2015,13.0,chardonnay,02L,false,3000.0,Vitop,box,white,,"{C,I,M,P,Y}",5699,false,false,false,2006-08-01,true,false
10324,Larsen VS,Ölgerðin Egill Skallagríms ehf,frakkland,cognac,cognac,,40.0,,,false,500.0,skrúftappi,flaska,strong,brandy,{},5150,false,false,false,2007-06-01,true,false
10364,Mixtus Shiraz Malbec,Globus hf,argentína,,,2015,12.5,syrah,01L,false,3000.0,Vitop,box,red,,"{3,K,M,P,Y}",5199,false,false,false,2007-01-01,true,false
10365,Mixtus Chardonnay Chenin,Globus hf,argentína,,,2014,12.0,chardonnay,02L,false,3000.0,Vitop,box,white,,"{I,M,Y}",4998,false,false,false,2007-01-01,true,false
1037,Southern Comfort,Mekka Wines & Spirits hf,bandaríkin,,,,35.0,,,false,700.0,,flaska,strong,liqueur,{},5799,false,false,false,2000-01-01,true,false
